provider,cidr,region
aws,13.35.0.0/16,GLOBAL
aws,13.36.0.0/14,eu-west-3
aws,13.40.0.0/14,eu-west-2
aws,13.48.0.0/12,
aws,13.112.0.0/14,ap-northeast-1
aws,13.124.0.0/14,
aws,13.128.0.0/16,us-east-1
aws,13.130.0.0/16,us-east-1
aws,13.134.0.0/15,eu-west-2
aws,13.144.0.0/16,ap-southeast-1
aws,13.146.0.0/16,ap-southeast-2
aws,13.150.0.0/15,ap-southeast-1
aws,13.152.0.0/16,me-south-1
aws,13.154.0.0/16,eu-north-1
aws,13.158.0.0/15,ap-northeast-1
aws,13.160.0.0/16,eu-central-1
aws,13.162.0.0/16,ap-south-1
aws,13.166.0.0/15,us-gov-west-1
aws,13.184.0.0/13,us-east-2
aws,13.192.0.0/11,
aws,13.224.0.0/12,
aws,13.244.0.0/14,af-south-1
aws,13.248.0.0/18,
aws,13.248.64.0/21,
aws,13.248.72.0/23,
aws,13.248.75.0/24,ap-southeast-5
aws,13.248.76.0/22,
aws,13.248.80.0/23,
aws,13.248.96.0/19,
aws,13.248.128.0/17,GLOBAL
aws,13.249.0.0/16,GLOBAL
aws,13.250.0.0/15,ap-southeast-1
aws,15.103.0.0/16,af-south-1
aws,15.128.0.0/16,ap-northeast-1
aws,15.134.0.0/15,ap-southeast-2
aws,15.145.0.0/22,eu-central-1
aws,15.145.4.0/23,eu-central-1
aws,15.145.8.0/21,eu-central-1
aws,15.145.16.0/21,
aws,15.145.24.0/23,eu-west-2
aws,15.152.0.0/16,ap-northeast-3
aws,15.156.0.0/15,ca-central-1
aws,15.158.0.0/16,GLOBAL
aws,15.160.0.0/15,eu-south-1
aws,15.164.0.0/15,ap-northeast-2
aws,15.168.0.0/16,ap-northeast-3
aws,15.177.0.0/18,GLOBAL
aws,15.177.64.0/19,
aws,15.177.96.0/22,
aws,15.177.100.0/24,ca-west-1
aws,15.177.102.0/23,
aws,15.177.104.0/22,
aws,15.181.0.0/17,
aws,15.181.128.0/18,
aws,15.181.192.0/19,us-east-1
aws,15.181.224.0/20,us-east-1
aws,15.181.240.0/21,
aws,15.181.248.0/22,
aws,15.181.252.0/23,us-west-2
aws,15.181.254.0/24,us-east-1
aws,15.184.0.0/15,me-south-1
aws,15.188.0.0/16,eu-west-3
aws,15.190.0.0/21,
aws,15.190.8.0/22,ca-west-1
aws,15.190.16.0/20,il-central-1
aws,15.190.32.0/19,
aws,15.190.80.0/20,ap-southeast-7
aws,15.190.96.0/19,
aws,15.190.128.0/19,
aws,15.190.160.0/20,sa-west-1
aws,15.190.232.0/21,
aws,15.190.240.0/20,
aws,15.193.0.0/19,
aws,15.193.128.0/19,
aws,15.193.160.0/20,
aws,15.193.176.0/22,ap-northeast-2
aws,15.197.0.0/19,GLOBAL
aws,15.197.32.0/21,GLOBAL
aws,15.197.64.0/19,GLOBAL
aws,15.197.128.0/17,GLOBAL
aws,15.200.0.0/16,us-gov-west-1
aws,15.205.0.0/16,us-gov-west-1
aws,15.206.0.0/15,ap-south-1
aws,15.216.0.0/15,eu-south-2
aws,15.220.0.0/19,us-west-2
aws,15.220.32.0/21,us-west-2
aws,15.220.40.0/22,us-west-2
aws,15.220.48.0/20,
aws,15.220.64.0/19,
aws,15.220.112.0/20,
aws,15.220.128.0/18,
aws,15.220.192.0/20,
aws,15.220.208.128/26,us-west-2
aws,15.220.216.0/21,
aws,15.220.224.0/19,
aws,15.221.0.0/19,
aws,15.221.32.0/20,
aws,15.221.48.0/22,
aws,15.221.52.0/23,
aws,15.221.128.0/21,
aws,15.221.144.0/21,
aws,15.221.152.0/23,
aws,15.221.160.0/21,
aws,15.221.176.0/20,us-east-1
aws,15.222.0.0/15,ca-central-1
aws,15.224.0.0/15,eu-west-3
aws,15.228.0.0/15,sa-east-1
aws,15.230.0.4/30,sa-east-1
aws,15.230.0.8/31,sa-east-1
aws,15.230.0.12/31,sa-east-1
aws,15.230.0.14/32,sa-east-1
aws,15.230.1.0/24,ap-south-1
aws,15.230.3.0/24,ap-southeast-1
aws,15.230.4.16/31,ap-southeast-3
aws,15.230.4.19/32,ap-southeast-1
aws,15.230.4.128/30,ap-southeast-1
aws,15.230.4.148/30,ap-southeast-1
aws,15.230.4.152/29,ap-southeast-1
aws,15.230.4.160/29,
aws,15.230.4.176/28,ap-southeast-1
aws,15.230.5.0/24,us-west-1
aws,15.230.6.0/24,ap-southeast-1
aws,15.230.9.10/31,eu-west-2
aws,15.230.9.12/30,eu-west-2
aws,15.230.9.44/30,eu-west-2
aws,15.230.9.248/32,eu-west-2
aws,15.230.9.252/31,eu-west-2
aws,15.230.10.0/24,me-south-1
aws,15.230.14.0/24,us-east-1
aws,15.230.15.0/32,eu-central-1
aws,15.230.15.3/32,eu-central-1
aws,15.230.15.4/30,eu-central-1
aws,15.230.15.8/30,eu-central-1
aws,15.230.15.13/32,eu-central-1
aws,15.230.15.14/31,eu-central-1
aws,15.230.15.16/32,eu-central-1
aws,15.230.15.24/29,eu-central-1
aws,15.230.15.32/27,eu-central-1
aws,15.230.15.64/26,eu-central-1
aws,15.230.15.128/26,eu-central-1
aws,15.230.15.192/30,eu-central-1
aws,15.230.15.200/29,eu-central-1
aws,15.230.15.208/29,eu-central-1
aws,15.230.15.216/30,eu-central-1
aws,15.230.15.254/31,eu-central-1
aws,15.230.16.0/24,us-west-1
aws,15.230.18.0/23,
aws,15.230.21.0/24,ca-central-1
aws,15.230.22.0/23,ap-southeast-2
aws,15.230.24.0/21,
aws,15.230.32.0/24,eu-west-1
aws,15.230.35.0/24,us-east-1
aws,15.230.36.0/22,
aws,15.230.40.0/22,
aws,15.230.48.0/21,
aws,15.230.56.0/22,
aws,15.230.60.0/23,
aws,15.230.62.0/24,il-central-1
aws,15.230.63.0/30,sa-east-1
aws,15.230.63.4/31,sa-east-1
aws,15.230.63.6/32,sa-east-1
aws,15.230.63.8/30,sa-east-1
aws,15.230.64.0/21,
